,fruit_name,cate3,width,height,weight
40481,persimmon_daebong,상,9.3,9.3,390
44841,persimmon_booyu,특,8.0,6.2,270
760,apple_fuji,상,8.1,8.1,265
4268,apple_yanggwang,상,7.7,7.1,225
47393,pear_singo,상,11.4,9.5,600
51674,pear_chuhwang,상,10.2,9.9,535
11676,mandarine_hallabong,보통,8.5,8.5,290
37689,persimmon_booyu,상,8.2,6.3,265
33754,pear_chuhwang,특,10.7,8.6,480
50833,pear_chuhwang,상,9.5,8.2,435
4188,apple_yanggwang,보통,9.5,8.3,330
29870,persimmon_daebong,특,9.0,9.2,370
26030,persimmon_daebong,보통,7.0,8.0,175
41521,persimmon_daebong,상,9.3,9.1,385
27118,persimmon_bansi,상,7.3,4.9,180
3580,apple_yanggwang,보통,9.0,8.2,305
35998,persimmon_bansi,특,6.2,5.3,145
15276,mandarine_onjumilgam,보통,5.9,4.8,90
3500,apple_yanggwang,보통,9.0,8.2,330
13996,mandarine_onjumilgam,보통,5.5,4.4,75
23042,mandarine_onjumilgam,특,6.7,5.5,120
46001,persimmon_booyu,특,8.7,6.5,270
4948,apple_yanggwang,상,8.0,7.5,240
3900,apple_yanggwang,보통,9.0,8.4,335
10236,mandarine_onjumilgam,상,6.0,5.2,100
15116,mandarine_onjumilgam,보통,5.7,4.6,75
49841,pear_singo,특,11.8,10.1,760
51560,pear_chuhwang,상,10.4,9.0,525
36798,persimmon_bansi,특,7.3,5.7,180
7516,apple_fuji,보통,7.3,6.6,195
45921,persimmon_booyu,특,8.7,6.4,290
5388,apple_yanggwang,상,9.0,8.5,355
49681,pear_singo,특,11.7,9.6,715
25790,persimmon_daebong,보통,6.7,7.7,185
29670,persimmon_daebong,특,9.1,9.3,395
6196,apple_fuji,보통,7.3,6.7,195
37889,persimmon_booyu,상,8.0,6.3,255
13812,pear_chuhwang,보통,8.2,7.8,305
24422,pear_singo,보통,10.1,8.1,475
48721,pear_singo,특,11.6,10.1,750
20314,apple_yanggwang,특,8.1,7.5,215
15316,mandarine_onjumilgam,보통,5.3,4.3,70
4908,apple_yanggwang,상,8.2,8.2,265
22282,mandarine_onjumilgam,특,6.5,4.8,105
6916,apple_fuji,보통,7.8,6.3,200
31398,persimmon_booyu,보통,7.5,6.0,210
27198,persimmon_bansi,상,7.3,5.1,180
35798,persimmon_bansi,특,7.3,5.4,175
35598,persimmon_bansi,특,7.4,5.5,185
11556,mandarine_hallabong,보통,8.5,8.0,270
21402,apple_yanggwang,특,8.3,7.6,245
42089,persimmon_bansi,보통,6.7,5.1,140
17162,mandarine_hallabong,상,8.7,9.1,350
960,apple_fuji,상,8.3,8.1,260
29790,persimmon_daebong,특,9.1,8.9,385
10396,mandarine_hallabong,보통,8.8,8.7,325
14436,mandarine_onjumilgam,보통,5.3,3.9,60
32478,persimmon_booyu,보통,8.0,6.7,245
33635,pear_chuhwang,특,10.3,9.0,520
46953,pear_singo,상,11.5,9.7,750
33198,persimmon_booyu,보통,7.7,6.0,230
50643,pear_chuhwang,상,9.3,8.7,465
6476,apple_fuji,보통,7.5,6.3,195
44681,persimmon_booyu,특,8.7,6.4,275
8196,apple_fuji,보통,7.5,6.9,205
25430,persimmon_daebong,보통,7.2,7.9,195
32718,persimmon_booyu,보통,7.8,6.2,220
24182,pear_singo,보통,9.9,8.6,470
43609,persimmon_bansi,보통,6.3,4.7,130
3860,apple_yanggwang,보통,9.1,7.4,285
20634,apple_yanggwang,특,8.0,7.9,215
47313,pear_singo,상,11.8,10.0,725
4828,apple_yanggwang,상,7.7,7.4,215
12442,pear_chuhwang,보통,8.9,8.0,370
24822,pear_singo,보통,10.0,8.3,490
38169,persimmon_booyu,상,8.2,6.3,260
49321,pear_singo,특,11.4,9.5,715
16842,mandarine_hallabong,상,9.1,9.5,375
14916,mandarine_onjumilgam,보통,5.5,4.6,80
22362,mandarine_onjumilgam,특,6.8,5.4,125
7116,apple_fuji,보통,7.0,6.5,190
33390,persimmon_booyu,보통,7.8,6.1,225
18154,mandarine_hallabong,특,9.6,9.4,431
39649,persimmon_booyu,상,8.2,6.4,270
34499,pear_chuhwang,특,10.1,8.9,490
10116,mandarine_onjumilgam,상,6.3,4.7,105
20514,apple_yanggwang,특,8.2,7.7,220
36838,persimmon_bansi,특,7.6,5.0,180
11276,mandarine_hallabong,보통,8.7,8.2,285
31918,persimmon_booyu,보통,7.7,6.0,205
2820,apple_yanggwang,보통,9.1,8.1,340
11396,mandarine_hallabong,보통,8.5,8.3,290
18730,mandarine_hallabong,특,9.8,9.5,403
47233,pear_singo,상,11.8,9.3,600
32438,persimmon_booyu,보통,7.5,6.0,215
23382,pear_singo,보통,10.1,8.3,485
30790,persimmon_daebong,특,9.5,8.7,380
48561,pear_singo,특,11.8,9.5,750
43929,persimmon_bansi,보통,7.3,5.7,180
26070,persimmon_daebong,보통,6.8,7.4,180
37529,persimmon_bansi,특,6.8,5.3,145
38809,persimmon_booyu,상,8.4,6.1,255
22602,mandarine_onjumilgam,특,6.8,5.1,120
2860,apple_yanggwang,보통,9.1,8.1,315
20674,apple_yanggwang,특,7.9,7.8,230
50329,pear_chuhwang,상,9.3,8.3,435
15596,mandarine_onjumilgam,보통,5.5,4.7,80
24062,pear_singo,보통,9.7,8.5,495
12562,pear_chuhwang,보통,9.4,8.0,380
21922,mandarine_onjumilgam,특,6.2,5.0,115
21562,mandarine_onjumilgam,특,6.5,4.8,110
30030,persimmon_daebong,특,8.9,8.6,360
3340,apple_yanggwang,보통,8.0,7.8,245
34343,pear_chuhwang,특,10.1,8.5,470
10716,mandarine_hallabong,보통,8.5,8.5,295
23702,pear_singo,보통,10.0,8.6,480
12962,pear_chuhwang,보통,9.3,8.2,385
2660,apple_yanggwang,보통,9.2,8.3,315
5748,apple_yanggwang,상,8.8,8.2,320
27678,persimmon_bansi,상,7.3,5.1,175
5508,apple_yanggwang,상,9.0,8.4,335
44361,persimmon_booyu,특,8.8,6.4,295
39449,persimmon_booyu,상,8.1,6.4,255
5228,apple_yanggwang,상,7.5,7.7,225
39849,persimmon_booyu,상,7.9,6.6,260
41001,persimmon_daebong,상,9.4,9.3,385
5548,apple_yanggwang,상,8.0,7.4,220
37849,persimmon_booyu,상,8.3,6.0,255
33991,pear_chuhwang,특,10.2,8.8,475
41929,persimmon_bansi,보통,6.3,4.9,125
26710,persimmon_daebong,보통,7.3,7.7,195
48681,pear_singo,특,11.7,9.8,715
15660,mandarine_onjumilgam,보통,5.4,4.0,60
48193,pear_singo,상,10.9,9.3,620
32878,persimmon_booyu,보통,7.7,6.0,245
43489,persimmon_bansi,보통,7.2,5.2,180
23142,mandarine_onjumilgam,특,6.8,5.2,120
12202,pear_chuhwang,보통,7.9,9.0,375
46753,pear_singo,상,11.5,10.4,760
30070,persimmon_daebong,특,8.7,8.7,365
10996,mandarine_hallabong,보통,8.3,8.7,290
51143,pear_chuhwang,상,9.8,8.3,495
31838,persimmon_booyu,보통,8.3,6.2,240
34659,pear_chuhwang,특,10.5,9.2,510
51711,pear_chuhwang,상,10.2,8.6,510
9816,mandarine_onjumilgam,상,6.1,4.5,95
32598,persimmon_booyu,보통,7.9,6.0,230
15156,mandarine_onjumilgam,보통,5.5,4.8,80
45401,persimmon_booyu,특,8.5,6.8,285
11756,mandarine_hallabong,보통,8.3,9.5,305
27358,persimmon_bansi,상,6.9,5.1,155
880,apple_fuji,상,8.7,8.0,280
31478,persimmon_booyu,보통,7.5,6.2,215
42449,persimmon_bansi,보통,6.2,5.3,135
7716,apple_fuji,보통,7.7,7.0,205
13762,pear_chuhwang,보통,8.8,9.0,405
30750,persimmon_daebong,특,9.1,8.7,365
36878,persimmon_bansi,특,7.4,5.4,195
16322,mandarine_hallabong,상,9.3,9.4,370
34619,pear_chuhwang,특,10.0,9.3,500
14596,mandarine_onjumilgam,보통,5.5,3.9,65
24382,pear_singo,보통,10.1,8.3,495
17682,mandarine_hallabong,상,9.3,8.8,350
48801,pear_singo,특,11.4,10.0,760
8736,mandarine_onjumilgam,상,5.9,4.8,95
9256,mandarine_onjumilgam,상,5.9,4.5,90
49721,pear_singo,특,11.4,10.3,765
2120,apple_fuji,상,8.2,7.6,260
27998,persimmon_bansi,상,7.1,5.2,170
46553,persimmon_booyu,특,8.8,6.6,275
41889,persimmon_bansi,보통,6.5,4.8,130
23982,pear_singo,보통,10.3,8.5,480
33470,persimmon_booyu,보통,7.3,6.1,220
43209,persimmon_bansi,보통,7.2,5.1,170
2940,apple_yanggwang,보통,8.9,8.1,320
37929,persimmon_booyu,상,8.0,6.1,255
19634,apple_yanggwang,특,8.0,7.7,220
13522,pear_chuhwang,보통,9.0,7.1,320
21362,apple_yanggwang,특,7.7,7.4,215
20834,apple_yanggwang,특,8.0,7.3,225
35050,pear_chuhwang,특,10.1,9.1,480
4668,apple_yanggwang,상,7.7,7.5,210
1560,apple_fuji,상,8.7,8.0,295
47833,pear_singo,상,11.7,9.7,695
31078,persimmon_daebong,특,9.2,8.7,370
2980,apple_yanggwang,보통,9.6,8.4,350
38729,persimmon_booyu,상,8.5,5.9,245
22042,mandarine_onjumilgam,특,7.0,5.0,130
47873,pear_singo,상,11.4,9.5,700
50985,pear_chuhwang,상,9.8,8.8,500
34031,pear_chuhwang,특,10.3,9.3,540
6276,apple_fuji,보통,7.8,6.5,200
13242,pear_chuhwang,보통,9.2,8.0,360
10556,mandarine_hallabong,보통,7.9,8.3,380
25510,persimmon_daebong,보통,7.1,7.5,190
48113,pear_singo,상,10.3,8.7,610
9976,mandarine_onjumilgam,상,6.2,4.8,100
35170,pear_chuhwang,특,10.2,8.4,460
30670,persimmon_daebong,특,9.0,9.4,380
8896,mandarine_onjumilgam,상,6.2,4.4,85
44281,persimmon_booyu,특,9.0,6.5,285
6956,apple_fuji,보통,7.4,6.4,185
16362,mandarine_hallabong,상,9.0,9.4,345
15900,mandarine_hallabong,상,9.5,9.0,345
26550,persimmon_daebong,보통,6.7,7.7,190
200,apple_fuji,상,8.5,7.7,280
50609,pear_chuhwang,상,9.5,8.0,440
44081,persimmon_bansi,보통,6.8,5.0,150
43809,persimmon_bansi,보통,7.4,5.2,175
25070,pear_singo,보통,10.1,8.8,495
480,apple_fuji,상,8.7,7.7,270
39569,persimmon_booyu,상,8.3,6.4,275
40601,persimmon_daebong,상,9.4,9.1,380
3700,apple_yanggwang,보통,9.2,8.2,330
27078,persimmon_bansi,상,7.2,4.3,170
24950,pear_singo,보통,9.7,8.9,475
1880,apple_fuji,상,8.5,7.7,270
48521,pear_singo,특,11.6,9.7,730
9296,mandarine_onjumilgam,상,6.0,4.7,95
47113,pear_singo,상,11.7,10.0,735
25110,persimmon_daebong,보통,6.9,7.7,180
39369,persimmon_booyu,상,8.1,6.3,265
5268,apple_yanggwang,상,8.7,8.4,310
21802,mandarine_onjumilgam,특,6.7,5.3,125
22122,mandarine_onjumilgam,특,6.6,5.0,120
6236,apple_fuji,보통,7.7,6.2,195
37809,persimmon_booyu,상,8.4,6.4,270
14796,mandarine_onjumilgam,보통,5.7,4.6,80
7396,apple_fuji,보통,7.8,6.9,215
14876,mandarine_onjumilgam,보통,5.5,4.5,75
25190,persimmon_daebong,보통,6.2,7.7,175
2160,apple_fuji,상,8.6,7.8,285
25990,persimmon_daebong,보통,6.8,7.7,185
11876,mandarine_hallabong,보통,8.3,8.7,285
33510,pear_chuhwang,특,10.2,9.6,500
51490,pear_chuhwang,상,9.5,8.5,455
30550,persimmon_daebong,특,8.3,8.3,315
400,apple_fuji,상,8.7,7.6,290
8696,mandarine_onjumilgam,상,6.1,4.6,105
2340,apple_fuji,상,9.0,8.0,300
30830,persimmon_daebong,특,8.5,8.8,320
9096,mandarine_onjumilgam,상,6.1,4.4,95
12762,pear_chuhwang,보통,9.5,8.0,370
40001,persimmon_booyu,상,8.4,6.0,270
3460,apple_yanggwang,보통,8.3,7.8,245
51452,pear_chuhwang,상,10.1,8.7,505
41201,persimmon_daebong,상,9.4,9.4,405
4228,apple_yanggwang,상,7.8,7.5,215
27158,persimmon_bansi,상,7.0,5.1,175
27038,persimmon_bansi,상,7.0,5.2,150
23262,pear_singo,보통,10.6,8.8,490
34383,pear_chuhwang,특,10.5,8.1,475
35758,persimmon_bansi,특,7.1,5.5,180
47753,pear_singo,상,11.7,9.8,740
52007,pear_chuhwang,상,9.3,8.6,470
43689,persimmon_bansi,보통,7.3,5.0,175
25630,persimmon_daebong,보통,6.9,7.9,185
16020,mandarine_hallabong,상,9.1,10.0,370
29830,persimmon_daebong,특,9.1,9.4,385
44201,persimmon_bansi,보통,7.0,5.3,165
44721,persimmon_booyu,특,8.9,6.4,275
45441,persimmon_booyu,특,8.2,6.3,265
48881,pear_singo,특,11.2,9.5,715
8236,apple_fuji,보통,7.9,6.4,200
1000,apple_fuji,상,8.2,7.6,265
23502,pear_singo,보통,10.0,8.7,495
6396,apple_fuji,보통,7.3,7.2,210
45081,persimmon_booyu,특,8.4,6.4,275
48401,pear_singo,상,11.6,10.0,735
6836,apple_fuji,보통,7.9,6.8,210
36558,persimmon_bansi,특,6.9,5.1,155
13162,pear_chuhwang,보통,9.2,8.6,360
2000,apple_fuji,상,9.1,7.3,290
5876,apple_yanggwang,상,7.7,7.7,220
36078,persimmon_bansi,특,6.8,5.0,135
36518,persimmon_bansi,특,7.2,5.2,155
13682,pear_chuhwang,보통,8.5,8.4,345
12282,pear_chuhwang,보통,8.7,7.9,370
33675,pear_chuhwang,특,9.6,8.7,455
22682,mandarine_onjumilgam,특,6.6,5.4,110
47553,pear_singo,상,11.7,10.0,710
4348,apple_yanggwang,상,8.0,7.4,230
47473,pear_singo,상,12.1,9.2,730
50677,pear_chuhwang,상,9.6,8.0,455
43569,persimmon_bansi,보통,6.7,4.8,150
44321,persimmon_booyu,특,8.6,6.4,290
24542,pear_singo,보통,9.6,9.1,485
10016,mandarine_onjumilgam,상,6.2,4.5,95
32318,persimmon_booyu,보통,7.7,6.0,220
35678,persimmon_bansi,특,7.5,5.5,190
2080,apple_fuji,상,8.2,7.5,260
7916,apple_fuji,보통,7.4,6.4,195
50947,pear_chuhwang,상,9.8,8.9,475
11924,mandarine_hallabong,보통,8.6,8.0,270
31958,persimmon_booyu,보통,8.1,6.2,210
29270,persimmon_bansi,상,7.2,5.6,180
38929,persimmon_booyu,상,7.9,6.2,245
21602,mandarine_onjumilgam,특,6.8,4.8,125
16762,mandarine_hallabong,상,8.8,9.2,345
33595,pear_chuhwang,특,10.3,9.0,470
13362,pear_chuhwang,보통,8.8,7.9,335
5588,apple_yanggwang,상,9.0,8.0,330
3740,apple_yanggwang,보통,9.8,8.3,325
28558,persimmon_bansi,상,6.5,5.1,150
11236,mandarine_hallabong,보통,8.7,8.5,330
16522,mandarine_hallabong,상,9.3,10.1,395
21194,apple_yanggwang,특,8.0,7.5,210
9216,mandarine_onjumilgam,상,6.2,4.6,100
24022,pear_singo,보통,9.8,8.7,490
12842,pear_chuhwang,보통,9.0,7.7,355
49481,pear_singo,특,11.8,10.0,735
18298,mandarine_hallabong,특,9.7,10.4,404
14196,mandarine_onjumilgam,보통,5.3,4.1,60
50756,pear_chuhwang,상,9.6,8.6,445
42609,persimmon_bansi,보통,6.3,5.3,125
40401,persimmon_daebong,상,9.6,9.6,415
23342,pear_singo,보통,10.1,8.1,480
26190,persimmon_daebong,보통,6.6,7.4,200
43849,persimmon_bansi,보통,6.9,5.0,170
8496,mandarine_onjumilgam,상,6.1,4.6,95
47073,pear_singo,상,11.9,9.7,755
23942,pear_singo,보통,10.1,8.6,490
48241,pear_singo,상,11.6,9.7,760
31678,persimmon_booyu,보통,7.6,5.7,215
51295,pear_chuhwang,상,9.8,9.0,465
47993,pear_singo,상,10.8,9.0,590
10916,mandarine_hallabong,보통,8.5,9.0,290
47633,pear_singo,상,11.8,10.2,715
37609,persimmon_bansi,특,6.7,5.0,145
34145,pear_chuhwang,특,10.2,8.6,480
19714,apple_yanggwang,특,8.2,7.6,240
31198,persimmon_booyu,보통,8.0,6.3,230
28198,persimmon_bansi,상,7.2,5.1,150
21842,mandarine_onjumilgam,특,7.0,5.2,130
48281,pear_singo,상,11.8,10.3,760
48961,pear_singo,특,11.9,9.8,755
35283,pear_chuhwang,특,9.7,9.3,430
29750,persimmon_daebong,특,9.1,8.2,360
44961,persimmon_booyu,특,8.3,6.1,275
32918,persimmon_booyu,보통,7.7,6.2,225
47673,pear_singo,상,11.3,10.1,745
28838,persimmon_bansi,상,7.0,5.4,170
20114,apple_yanggwang,특,9.2,8.3,310
13202,pear_chuhwang,보통,9.2,8.1,340
20274,apple_yanggwang,특,8.1,7.6,225
32678,persimmon_booyu,보통,7.8,5.8,225
39729,persimmon_booyu,상,8.1,6.4,250
45121,persimmon_booyu,특,8.6,6.6,295
34699,pear_chuhwang,특,10.2,9.3,515
1800,apple_fuji,상,8.9,7.6,290
21282,apple_yanggwang,특,8.3,8.3,240
33238,persimmon_booyu,보통,7.3,6.2,21
1720,apple_fuji,상,8.7,7.6,275
27278,persimmon_bansi,상,6.9,5.0,175
37278,persimmon_bansi,특,7.3,4.9,170
32198,persimmon_booyu,보통,7.5,6.3,215
3100,apple_yanggwang,보통,8.8,8.1,305
4788,apple_yanggwang,상,8.0,7.5,245
25470,persimmon_daebong,보통,6.5,7.2,165
6676,apple_fuji,보통,7.4,6.6,200
45801,persimmon_booyu,특,9.0,6.3,300
51786,pear_chuhwang,상,9.7,8.7,475
40801,persimmon_daebong,상,9.3,9.5,385
29038,persimmon_bansi,상,6.7,5.1,155
28358,persimmon_bansi,상,6.7,5.0,155
24262,pear_singo,보통,9.9,8.3,485
41729,persimmon_daebong,상,8.9,9.3,365
31558,persimmon_booyu,보통,8.0,5.6,215
49001,pear_singo,특,11.3,10.0,710
21154,apple_yanggwang,특,8.8,8.5,290
32838,persimmon_booyu,보통,7.1,6.3,225
12922,pear_chuhwang,보통,8.8,7.8,330
22162,mandarine_onjumilgam,특,6.7,5.0,120
22002,mandarine_onjumilgam,특,6.8,5.1,130
10836,mandarine_hallabong,보통,9.0,8.3,290
39609,persimmon_booyu,상,8.2,6.1,250
19994,apple_yanggwang,특,9.1,8.1,305
42369,persimmon_bansi,보통,6.2,5.0,125
4628,apple_yanggwang,상,7.5,7.0,210
25910,persimmon_daebong,보통,7.3,7.5,210
12124,pear_chuhwang,보통,8.9,8.2,365
36318,persimmon_bansi,특,7.3,5.3,175
8816,mandarine_onjumilgam,상,6.3,5.0,110
42769,persimmon_bansi,보통,6.9,5.2,175
26758,persimmon_daebong,보통,6.9,7.0,180
45561,persimmon_booyu,특,8.9,6.5,285
43289,persimmon_bansi,보통,6.5,5.3,135
50461,pear_chuhwang,상,10.4,9.7,545
10476,mandarine_hallabong,보통,8.6,9.1,325
29510,persimmon_daebong,특,8.8,8.7,345
41561,persimmon_daebong,상,9.8,8.8,415
44121,persimmon_bansi,보통,7.1,4.8,150
31798,persimmon_booyu,보통,7.9,5.4,200
11796,mandarine_hallabong,보통,8.7,8.4,320
33158,persimmon_booyu,보통,8.2,6.0,235
20394,apple_yanggwang,특,8.2,7.5,235
30390,persimmon_daebong,특,8.4,9.2,345
9896,mandarine_onjumilgam,상,6.1,5.1,105
600,apple_fuji,상,8.8,7.7,285
17122,mandarine_hallabong,상,9.5,10.0,360
10196,mandarine_onjumilgam,상,5.9,4.7,100
17602,mandarine_hallabong,상,9.5,9.6,415
20074,apple_yanggwang,특,8.8,7.9,290
29710,persimmon_daebong,특,8.6,8.9,355
48641,pear_singo,특,11.2,9.7,700
13972,mandarine_onjumilgam,보통,5.4,4.9,65
19162,mandarine_hallabong,특,9.7,9.1,416
5028,apple_yanggwang,상,8.0,8.0,255
39329,persimmon_booyu,상,7.9,6.4,245
41681,persimmon_daebong,상,9.6,9.9,400
24910,pear_singo,보통,10.0,8.7,505
36198,persimmon_bansi,특,6.6,5.4,150
14356,mandarine_onjumilgam,보통,5.5,4.1,70
43049,persimmon_bansi,보통,6.5,5.5,140
20754,apple_yanggwang,특,8.3,7.9,260
52101,pear_chuhwang,상,10.2,9.0,535
42129,persimmon_bansi,보통,6.9,5.4,130
7476,apple_fuji,보통,7.6,6.7,210
36958,persimmon_bansi,특,7.4,4.9,165
11596,mandarine_hallabong,보통,8.8,9.8,325
22722,mandarine_onjumilgam,특,6.6,5.5,120
6596,apple_fuji,보통,7.5,6.5,190
160,apple_fuji,상,8.1,7.1,265
15036,mandarine_onjumilgam,보통,5.4,4.6,80
11116,mandarine_hallabong,보통,8.7,8.4,295
1240,apple_fuji,상,8.8,7.7,290
15556,mandarine_onjumilgam,보통,5.3,4.1,70
33038,persimmon_booyu,보통,7.5,6.0,205
6156,apple_fuji,보통,7.2,6.8,195
10156,mandarine_onjumilgam,상,6.0,4.7,90
9136,mandarine_onjumilgam,상,6.2,4.9,100
31278,persimmon_booyu,보통,8.0,6.3,245
4428,apple_yanggwang,상,8.0,7.3,240
26750,persimmon_daebong,보통,6.1,7.9,160
51746,pear_chuhwang,상,9.9,9.0,470
37478,persimmon_bansi,특,7.2,4.9,155
27318,persimmon_bansi,상,7.1,5.0,185
20474,apple_yanggwang,특,8.0,7.7,230
27518,persimmon_bansi,상,7.3,4.9,170
16962,mandarine_hallabong,상,9.8,9.7,400
43089,persimmon_bansi,보통,6.1,5.2,125
35398,persimmon_bansi,특,7.0,4.8,140
42729,persimmon_bansi,보통,6.5,5.6,145
44441,persimmon_booyu,특,8.9,6.5,280
10876,mandarine_hallabong,보통,8.9,9.5,305
6316,apple_fuji,보통,7.7,6.4,210
22242,mandarine_onjumilgam,특,6.7,4.7,115
11476,mandarine_hallabong,보통,8.3,8.3,275
9616,mandarine_onjumilgam,상,6.2,4.4,100
37198,persimmon_bansi,특,7.0,4.8,150
4020,apple_yanggwang,보통,9.0,8.3,335
16242,mandarine_hallabong,상,9.3,9.9,395
23622,pear_singo,보통,9.7,8.6,475
45761,persimmon_booyu,특,8.6,8.0,250
25150,persimmon_daebong,보통,6.7,7.4,175
30190,persimmon_daebong,특,8.3,8.8,315
50169,pear_singo,특,11.8,9.9,73
44801,persimmon_booyu,특,8.7,6.3,265
22802,mandarine_onjumilgam,특,6.7,5.7,125
22562,mandarine_onjumilgam,특,6.5,5.6,125
47273,pear_singo,상,12.0,10.0,750
34263,pear_chuhwang,특,10.0,9.0,495
33517,pear_chuhwang,특,9.6,8.7,465
29470,persimmon_daebong,특,9.3,8.6,350
8976,mandarine_onjumilgam,상,6.1,4.4,100
32398,persimmon_booyu,보통,7.7,6.0,215
17562,mandarine_hallabong,상,9.0,8.2,325
5468,apple_yanggwang,상,9.2,8.0,335
16442,mandarine_hallabong,상,9.0,9.3,370
1520,apple_fuji,상,9.2,7.6,260
29310,persimmon_daebong,특,8.9,9.3,365
23782,pear_singo,보통,10.0,8.4,475
26630,persimmon_daebong,보통,6.7,8.3,200
34579,pear_chuhwang,특,10.2,8.5,500
21762,mandarine_onjumilgam,특,6.5,4.2,105
29118,persimmon_bansi,상,7.0,5.2,160
51221,pear_chuhwang,상,9.7,9.2,480
45841,persimmon_booyu,특,8.1,6.5,270
13482,pear_chuhwang,보통,8.7,8.5,325
17522,mandarine_hallabong,상,9.3,9.0,360
34223,pear_chuhwang,특,10.4,8.7,455
35166,pear_chuhwang,특,10.0,8.9,485
8116,apple_fuji,보통,7.7,6.5,210
